Name,percent_fastball_thrown,fastball_speed,fastball_spin,offspeed_break_horizontal,percent_offspeed_thrown,offspeed_spin,breaking_break_horizontal,percent_breaking_thrown,breaking_spin,fastball_break_vertical,fastball_break_horizontal,breaking_speed,offspeed_break_vertical,offspeed_speed,breaking_break_vertical
Pitcher 1,60,91,2098,11.8,13,1472,0.2,27,70,16.5,8,82,5.8,90,5.8
Pitcher 2,60,87,1884,16.3,13,1856,-3.7,27,77,12.6,12.6,76,1.5,82,1.5
Pitcher 3,60,86,1730,15,13,1554,0.7,27,75,8.8,16,75,3.6,77,3.6
Pitcher 4,60,86,1871,-8.6,13,1173,-1.2,27,66,16.4,-10.8,77,6,79,6
Pitcher 5,60,86,1885,12.5,13,1683,-8.4,27,58,13,11.9,74,-9.1,81,-9.1
Pitcher 6,60,85,1340,8.5,13,906,-1.8,27,81,11.8,8.5,77,1.7,78,1.7
Pitcher 7,60,88,1492,8.5,13,1274,-7.3,27,55,14.3,7,72,-9.3,80,-9.3
Pitcher 8,60,84,2012,9.4,13,1382,-4.8,27,38,16.5,9.2,73,-5.9,79,-5.9
Pitcher 9,60,91,2068,12.5,13,1749,-5.3,27,71,15.8,10.1,79,-3.6,83,-3.6
